year,semester,carleton_code,uottawa_code,course_name,professor,outline_link
2015,winter,COMP 1406C,,Introduction to Computer Science II,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/1406C-W15-outline.pdf
2015,winter,COMP 1501A,,Computer Game Design,David Mould,https://service.scs.carleton.ca/sites/default/files/course_outlines/intro-1501-2015.pdf
2015,winter,COMP 1601,,Introduction to Mobile Application Development,Dwight Deugo,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP%201601%20Course%20Outline_0.pdf
2015,winter,COMP 1805B,,Discrete Structures I,John Howat,https://service.scs.carleton.ca/sites/default/files/course_outlines/1805BM-W15-outline.pdf
2015,winter,COMP 1807,,Introduction to Robotics,Mark Lanthier,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP1807-CourseOutline%28W2015%29.pdf
2015,winter,COMP 2401,,Introduction to Systems Programming,Doron Nussbaum,https://service.scs.carleton.ca/sites/default/files/course_outlines/course_information_sheet.pdf
2015,winter,COMP 2402B,,Abstract Data Types and Algorithms,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2402winter2015outline.html
2015,winter,COMP 2404B,,Introduction to Software Engineering,Christine Laurendeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_8.pdf
2015,winter,COMP 2406,,Fundamentals of Web Applications,Anil Somayaji,
2015,winter,COMP 2501A,,Computer Games,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/2501winter2015outline.html
2015,winter,COMP 2601A,,Mobile Applications,Tony White,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP-2601.html
2015,winter,COMP 2804B,,Discrete Math II,Anil Maheshwari,
2015,winter,COMP 2804B,,Discrete Structures II,Michiel Smid,https://service.scs.carleton.ca/sites/default/files/course_outlines/outline_11.pdf
2015,winter,COMP 3000B,,Operating Systems,Mengchi Liu,https://service.scs.carleton.ca/sites/default/files/course_outlines/3000-15Woutline.docx
2015,winter,COMP 3004B,,Object-Oriented Software Engineering,Jean-Pierre Corriveau,https://service.scs.carleton.ca/sites/default/files/course_outlines/3004-w15-outline.pdf
2015,winter,COMP 3005B,,Database Management Systems,Louis Nel,https://service.scs.carleton.ca/sites/default/files/course_outlines/3005winter2015outline.html
2015,winter,COMP 3008A,,Human Computer Interaction,Robert Biddle,https://service.scs.carleton.ca/sites/default/files/course_outlines/comp3008-outline-2015w.pdf
2015,winter,COMP 3803,,Introduction to the Theory of Computation,John Oommen,https://service.scs.carleton.ca/sites/default/files/course_outlines/COMP3803Outline2015.htm
2015,winter,COMP 3804,ISYS 5802 / Math 5802 / MATH 3804,Design and Analysis of Algorithms I,Dr. J.-R. Sack,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline3804_0.pdf
2015,winter,COMP 4102A,,Computer Vision,Gerhard Roth,https://service.scs.carleton.ca/sites/default/files/course_outlines/Outline_COMP4102_15_0.pdf
2015,winter,COMP 4106,,Artificial Intelligence,John Oommen,https://service.scs.carleton.ca/sites/default/files/course_outlines/4106Out15_1.pdf
2015,winter,COMP 4203,,Wireless Networks and Security,Michel Barbeau,https://service.scs.carleton.ca/sites/default/files/course_outlines/CourseOutline4203_0.pdf
2015,winter,COMP 4501,,Advanced Compouter Game Design and Development,Wilf LaLonde,https://service.scs.carleton.ca/sites/default/files/course_outlines/4501.2015.Description_0.pdf
